station_code,location,state,temperature_c,do_mg_l,ph,conductivity_umhos_cm,bod_mg_l,nitrate_nitrite_mg_l,fecal_coliform_mpn_100ml,total_coliform_mpn_100ml,year
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,27.0,7.2,7.2,70.0,1.6,0.1,1554.0,2887.0,2007
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,28.0,7.2,6.8,60.0,2.1,0.1,5778.0,10403.0,2007
1545,"RIVER MADAI AT DABOS NAN VALPOI, GOA",GOA,28.0,7.4,7.1,80.0,1.4,0.1,475.0,1010.0,2007
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,28.0,7.2,6.9,80.0,1.3,0.1,1009.0,1938.0,2007
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,29.0,7.4,7.0,66.0,2.0,0.1,700.0,1451.0,2007
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,28.0,6.3,6.6,66.0,1.6,0.1,1427.0,3293.0,2007
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,26.0,6.4,7.3,103.0,4.0,0.24,126.0,753.0,2007
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,27.0,6.7,7.4,103.0,3.9,0.22,64.0,644.0,2007
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,28.0,6.6,7.5,97.0,3.7,0.25,16.0,169.0,2007
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,28.0,5.7,7.2,531.0,5.3,0.75,116.0,456.0,2007
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,25.0,6.4,7.1,113.0,3.9,0.47,60.0,400.0,2007
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,25.0,6.6,7.2,88.0,3.9,0.45,228.0,1146.0,2007
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,22.0,6.2,7.3,117.0,4.0,0.5,169.0,638.0,2007
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.0,5.5,6.6,1314.0,1.7,0.4,290.0,668.0,2007
